Field=#~Integer~#~50|Field=Comment~String~Comment~101|Field=Datasheet Link~String~Datasheet Link~101|Field=Description~String~Description~101|Field=Designator~String~Designator~101|Field=Manufacturer_Part_Number~String~Manufacturer_Part_Number~101|Field=Quantity~Integer~Quantity~101|Field=Value~String~Value~101|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Bhishma.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\Bhishma\Bhishma.PrjPcb|ReportField=Title~Bill of Materials For Project [Bhishma.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~183|ReportField=ReportTime~6:19:45 AM|ReportField=ReportDate~10/20/2019|ReportField=ReportDateTime~10/20/2019 6:19:45 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Boulder|ReportField=Address2~Bhishma|ReportField=Address3~Low Power Embedded|ReportField=Address4~Design Techniques|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/20/2019|ReportField=CurrentTime~6:03:12 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\Bhishma\Block Diagram.SchDoc|ReportField=DocumentName~Block Diagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/20/2019|ReportField=Organization~University of Colorado|ReportField=ProjectName~Bhishma.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~Block Diagram|ReportField=DataSourceFileName~Bhishma.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\Bhishma\Bhishma.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
16|80-C0603C151J4G|https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf|Capacitor|C204, C206, C208, C211, C214|C0603C151J4GACTU|5|150pF
17|81-GRM188R61C475KAJD|http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf|Capacitor|C212|GRM188R61C475KAAJD|1|4.7uF
18|81-GRM1887U1A223JA1D|https://psearch.en.murata.com/capacitor/product/GRM1887U1A223JA01%23.html|Capacitor|C223|GRM1887U1A223JA01D|1|22nF
19|81-DFE18SBN1R0ME0L|https://psearch.en.murata.com/inductor/product/DFE18SBN1R0ME0%23.html|Inductor|FB2, FB3|DFE18SBN1R0ME0L|2|1uH
20|634-BGP632F512GM48D|https://componentsearchengine.com/Datasheets/1/EFR32BG13P632F512GM48-D.pdf|Integrated Circuit|IC1, IC9|EFR32BG13P632F512GM48-D|2|
21|950-W5100|http://uk.rs-online.com/web/p/products/0419930|Integrated Circuit|IC2|W5100|1|
22|584-LTC3550EDHC#PBF|https://www.analog.com/media/en/technical-documentation/data-sheets/3550fa.pdf|Integrated Circuit|IC3, IC4|LTC3550EDHC#PBF|2|LTC3550
23|511-STPM34TR|http://www.st.com/content/ccc/resource/technical/document/datasheet/d9/c1/c6/3d/09/7f/4f/7b/DM00111861.pdf/files/DM00111861.pdf/jcr:content/translations/en.DM00111861.pdf|Integrated Circuit|IC5|STPM34TR|1|STPM34TR
24|512-FOD8012AR2|https://www.onsemi.com/pub/Collateral/FOD8012A-D.pdf|Integrated Circuit|IC6|FOD8012AR2|1|FOD8012AR2
25|512-FOD8001|https://www.mouser.com/ds/2/308/FOD8001-1124391.pdf|Integrated Circuit|IC7, IC8|FOD8001|2|FOD8001
26|806-GWLEX-SMT-S988GY|https://www.mouser.jp/datasheet/2/222/GWLEX-SMT-S9-88-X-X-1620800.pdf|Connector|J1|GWLEX-SMT-S988G/Y|1|
27|490-UJ2-MIBH2-4-SMT|https://www.mouser.com/datasheet/2/670/uj2-mibh2-4-smt-1313423.pdf|Micro B, USB 2.0, 1.8 A, Right Angle, Surface Mount _SMT_, USB Receptacle|J2|UJ2-MIBH2-4-SMT-TR|1|USB Connector
